Date,Last Price
6/5/2020,592
6/4/2020,605
6/3/2020,628
6/2/2020,653
6/1/2020,698
5/29/2020,713
5/28/2020,720
5/27/2020,733
5/26/2020,718
5/22/2020,735
5/21/2020,756
5/20/2020,792
5/19/2020,818
5/18/2020,847
5/15/2020,852
5/14/2020,863
5/13/2020,872
5/12/2020,870
5/11/2020,868
5/7/2020,863
5/6/2020,881
5/5/2020,905
5/4/2020,1015
5/1/2020,1105
4/30/2020,1236
4/29/2020,1387
4/28/2020,1503
4/27/2020,1536
4/24/2020,1550
4/23/2020,1537
4/22/2020,1525
4/21/2020,1377
4/20/2020,1182
4/17/2020,1154
4/16/2020,1102
4/15/2020,1084
4/14/2020,1108
4/9/2020,1114
4/8/2020,1071
4/7/2020,1122
4/6/2020,1240
4/3/2020,1383
4/2/2020,1402
4/1/2020,1406
3/31/2020,1394
3/30/2020,1348
3/27/2020,1230
3/26/2020,1111
3/25/2020,1068
3/24/2020,1041
3/23/2020,1099
3/20/2020,1166
3/19/2020,1242
3/18/2020,1379
3/17/2020,1516
3/16/2020,1518
3/13/2020,1434
3/12/2020,1173
3/11/2020,1057
3/10/2020,848
3/9/2020,778
3/6/2020,764
3/5/2020,792
3/4/2020,796
3/3/2020,796
3/2/2020,796
2/28/2020,796
2/27/2020,806
2/26/2020,817
2/25/2020,850
2/24/2020,862
2/21/2020,865
2/20/2020,870
2/19/2020,872
2/18/2020,871
2/17/2020,871
2/14/2020,865
2/13/2020,855
2/12/2020,847
2/11/2020,840
2/10/2020,816
2/7/2020,803
2/6/2020,796
2/5/2020,798
2/4/2020,803
2/3/2020,850
1/31/2020,882
1/30/2020,934
1/29/2020,1046
1/28/2020,1093
1/27/2020,1152
1/24/2020,1190
1/23/2020,1208
1/22/2020,1237
1/21/2020,1227
1/20/2020,1226
1/17/2020,1241
1/16/2020,1305
1/15/2020,1340
1/14/2020,1396
1/13/2020,1448
1/10/2020,1473
1/9/2020,1508
1/8/2020,1520
1/7/2020,1509
1/6/2020,1500
1/3/2020,1517
1/2/2020,1503
12/24/2019,1597
12/23/2019,1580
12/20/2019,1589
12/19/2019,1560
12/18/2019,1545
12/17/2019,1509
12/16/2019,1455
12/13/2019,1440
12/12/2019,1419
12/11/2019,1414
12/10/2019,1375
12/9/2019,1338
12/6/2019,1315
12/5/2019,1286
12/4/2019,1259
12/3/2019,1237
12/2/2019,1252
11/29/2019,1267
11/28/2019,1283
11/27/2019,1301
11/26/2019,1297
11/25/2019,1276
11/22/2019,1296
11/21/2019,1276
11/20/2019,1235
11/19/2019,1194
11/18/2019,1143
11/15/2019,1119
11/14/2019,1082
11/13/2019,984
11/12/2019,941
11/11/2019,902
11/8/2019,899
11/7/2019,914
11/6/2019,938
11/5/2019,967
11/4/2019,1011
11/1/2019,1029
10/31/2019,1040
10/30/2019,1055
10/29/2019,1101
10/28/2019,1144
10/25/2019,1185
10/24/2019,1227
10/23/2019,1282
10/22/2019,1312
10/21/2019,1376
10/18/2019,1432
10/17/2019,1532
10/16/2019,1641
10/15/2019,1797
10/14/2019,1958
10/11/2019,1941
10/10/2019,1561
10/9/2019,1442
10/8/2019,1355
10/7/2019,1258
10/4/2019,1191
10/3/2019,1123
10/2/2019,1033
10/1/2019,998
9/30/2019,961
9/27/2019,935
9/26/2019,876
9/25/2019,850
9/24/2019,849
9/23/2019,833
9/20/2019,828
9/19/2019,795
9/18/2019,777
9/17/2019,755
9/16/2019,729
9/13/2019,708
9/12/2019,706
9/11/2019,696
9/10/2019,686
9/9/2019,685
9/6/2019,683
9/5/2019,676
9/4/2019,667
9/3/2019,651
9/2/2019,654
8/30/2019,656
8/29/2019,660
8/28/2019,664
8/27/2019,663
8/23/2019,662
8/22/2019,656
8/21/2019,659
8/20/2019,657
8/19/2019,649
8/16/2019,646
8/15/2019,631
8/14/2019,627
8/13/2019,627
8/12/2019,626
8/9/2019,627
8/8/2019,628
8/7/2019,626
8/6/2019,617
8/5/2019,617
8/2/2019,621
8/1/2019,620
7/31/2019,621
7/30/2019,624
7/29/2019,632
7/26/2019,634
